Title,Difficulty,Company Count,Companies,Frequency,Acceptance Rate,LeetCode Link,Topics,Topic Categories
Minimum Time Difference,MEDIUM,2,"Palantir, Visa",82.4,0.6235324529015283,https://leetcode.com/problems/minimum-time-difference,"Array, Math, Sorting, String","Array, String, Sorting, Math"
Most Profitable Path in a Tree,MEDIUM,2,"Intuit, Snowflake",93.3,0.6759769941567256,https://leetcode.com/problems/most-profitable-path-in-a-tree,"Array, Breadth-First Search, Depth-First Search, Graph, Tree","Array, Tree, Graph, BFS, DFS"
Next Greater Element II,MEDIUM,2,"Amazon, Intuit",50.8,66.3%,https://leetcode.com/problems/next-greater-element-ii,"Array, Monotonic Stack, Stack","Array, Stack, Monotonic Stack"
Number of Adjacent Elements With the Same Color,MEDIUM,2,"Uber, Visa",60.1,0.5575544433923982,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Array,Array
Number of Connected Components in an Undirected Graph,MEDIUM,2,"Linkedln, Twitter",45.3,0.6420086435906586,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph,"Breadth-First Search, Depth-First Search, Graph, Union Find","Graph, BFS, DFS, Union Find"
Number of Matching Subsequences,MEDIUM,2,"Salesforce, Visa",36.0,0.5068902297144416,https://leetcode.com/problems/number-of-matching-subsequences,"Array, Binary Search, Dynamic Programming, Hash Table, Sorting, String, Trie","Array, String, Binary Search, Dynamic Programming, Hash Table, Sorting, Trie"
Number of Sub-arrays of Size K and Average Greater than or Equal to Threshold,MEDIUM,2,"Goldman Sachs, Linkedln",65.6,0.7023384374541363,https://leetcode.com/problems/number-of-sub-arrays-of-size-k-and-average-greater-than-or-equal-to-threshold,"Array, Sliding Window","Array, Sliding Window"
Number of Subarrays That Match a Pattern I,MEDIUM,2,"Uber, Visa",50.4,0.6684595198334382,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,"Array, Hash Function, Rolling Hash, String Matching","Array, String"
Number of Substrings Containing All Three Characters,MEDIUM,2,"DEShaw, PayPal",77.4,0.7317133743793961,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,"Hash Table, Sliding Window, String","String, Hash Table, Sliding Window"
One Edit Distance,MEDIUM,2,"Snap, Twitter",84.9,0.3447769688887125,https://leetcode.com/problems/one-edit-distance,"String, Two Pointers","String, Two Pointers"
Partition Labels,MEDIUM,2,"Bloomberg, Linkedln",38.0,0.8153346802689039,https://leetcode.com/problems/partition-labels,"Greedy, Hash Table, String, Two Pointers","String, Hash Table, Greedy, Two Pointers"
Partition to K Equal Sum Subsets,MEDIUM,2,"ByteDance, Linkedln",53.7,0.3812602522279146,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,"Array, Backtracking, Bit Manipulation, Bitmask, Dynamic Programming, Memoization","Array, Dynamic Programming, Backtracking, Bit Manipulation"
Path Sum III,MEDIUM,2,"Flipkart, Salesforce",43.5,0.460913846032227,https://leetcode.com/problems/path-sum-iii,"Binary Tree, Depth-First Search, Tree","Tree, DFS"
Plates Between Candles,MEDIUM,2,"Amazon, Oracle",49.0,46.67%,https://leetcode.com/problems/plates-between-candles,"Array, Binary Search, Prefix Sum, String","Array, String, Binary Search, Prefix Sum"
Query Kth Smallest Trimmed Number,MEDIUM,2,"DEShaw, Goldman Sachs",77.4,0.4557405560244507,https://leetcode.com/problems/query-kth-smallest-trimmed-number,"Array, Divide and Conquer, Heap (Priority Queue), Quickselect, Radix Sort, Sorting, String","Array, String, Queue, Heap / Priority Queue, Sorting, Divide and Conquer"
Range Product Queries of Powers,MEDIUM,2,"Goldman Sachs, IBM",47.2,0.4190695285104862,https://leetcode.com/problems/range-product-queries-of-powers,"Array, Bit Manipulation, Prefix Sum","Array, Bit Manipulation, Prefix Sum"
Range Sum Query 2D - Immutable,MEDIUM,2,"NVIDIA, Snowflake",40.7,0.5652765632997782,https://leetcode.com/problems/range-sum-query-2d-immutable,"Array, Design, Matrix, Prefix Sum","Array, Matrix, Design, Prefix Sum"
Rank Scores,MEDIUM,2,"Google, Yahoo",16.4,0.6530068484300299,https://leetcode.com/problems/rank-scores,Database,
Rank Teams by Votes,MEDIUM,2,"Atlassian, Flipkart",54.6,59.4%,https://leetcode.com/problems/rank-teams-by-votes,"Array, Counting, Hash Table, Sorting, String","Array, String, Hash Table, Sorting"
Rearrange Array to Maximize Prefix Score,MEDIUM,2,"IBM, JP Morgan",37.4,0.4154713786648543,https://leetcode.com/problems/rearrange-array-to-maximize-prefix-score,"Array, Greedy, Prefix Sum, Sorting","Array, Sorting, Greedy, Prefix Sum"
Rectangle Area,MEDIUM,2,"Google, NVIDIA",13.3,0.4737387162244031,https://leetcode.com/problems/rectangle-area,"Geometry, Math",Math
Remove All Occurrences of a Substring,MEDIUM,2,"Goldman Sachs, Twitter",32.7,0.7806968639516182,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,"Simulation, Stack, String","String, Stack, Simulation"
Removing Stars From a String,MEDIUM,2,"IBM, Walmart",35.0,0.779700381986175,https://leetcode.com/problems/removing-stars-from-a-string,"Simulation, Stack, String","String, Stack, Simulation"
Reverse Substrings Between Each Pair of Parentheses,MEDIUM,2,"Flipkart, Goldman Sachs",60.0,0.717268529079912,https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,"Stack, String","String, Stack"
Rotating the Box,MEDIUM,2,"Uber, Visa",84.7,0.7909813050714205,https://leetcode.com/problems/rotating-the-box,"Array, Matrix, Two Pointers","Array, Two Pointers, Matrix"
Shortest Word Distance III,MEDIUM,2,"Linkedln, Palantir",54.9,0.5910015691072046,https://leetcode.com/problems/shortest-word-distance-iii,"Array, String","Array, String"
Single Number II,MEDIUM,2,"Google, Yahoo",31.8,0.6522776346186073,https://leetcode.com/problems/single-number-ii,"Array, Bit Manipulation","Array, Bit Manipulation"
Single-Threaded CPU,MEDIUM,2,"IBM, Microsoft",46.3,0.4648191183347267,https://leetcode.com/problems/single-threaded-cpu,"Array, Heap (Priority Queue), Sorting","Array, Queue, Heap / Priority Queue, Sorting"
Smallest Missing Non-negative Integer After Operations,MEDIUM,2,"Atlassian, IBM",36.0,39.9%,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,"Array, Greedy, Hash Table, Math","Array, Hash Table, Greedy, Math"
Snakes and Ladders,MEDIUM,2,"Cisco, Zomato",68.9,0.4779534713832989,https://leetcode.com/problems/snakes-and-ladders,"Array, Breadth-First Search, Matrix","Array, BFS, Matrix"
Step-By-Step Directions From a Binary Tree Node to Another,MEDIUM,2,"Databricks, Snowflake",76.6,0.5630838477366256,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,"Binary Tree, Depth-First Search, String, Tree","String, Tree, DFS"
Sum Game,MEDIUM,2,"ByteDance, DEShaw",63.6,0.4840779387431195,https://leetcode.com/problems/sum-game,"Game Theory, Greedy, Math, String","String, Greedy, Math"
Surrounded Regions,MEDIUM,2,"Flipkart, Google",43.5,0.4288647280844804,https://leetcode.com/problems/surrounded-regions,"Array, Breadth-First Search, Depth-First Search, Matrix, Union Find","Array, BFS, DFS, Union Find, Matrix"
Swapping Nodes in a Linked List,MEDIUM,2,"NVIDIA, Snowflake",40.7,0.6846789757668836,https://leetcode.com/problems/swapping-nodes-in-a-linked-list,"Linked List, Two Pointers","Linked List, Two Pointers"
The kth Factor of n,MEDIUM,2,"IBM, Salesforce",73.9,0.6957668800559188,https://leetcode.com/problems/the-kth-factor-of-n,"Math, Number Theory",Math
Time Needed to Rearrange a Binary String,MEDIUM,2,"PayPal, ServiceNow",75.5,0.5155956910874109,https://leetcode.com/problems/time-needed-to-rearrange-a-binary-string,"Dynamic Programming, Simulation, String","String, Dynamic Programming, Simulation"
Transform Array to All Equal Elements,MEDIUM,2,"Flipkart, Microsoft",100.0,0.315568937398068,https://leetcode.com/problems/transform-array-to-all-equal-elements,"Array, Greedy","Array, Greedy"
Two City Scheduling,MEDIUM,2,"Bloomberg, Swiggy",58.9,0.6769210516989099,https://leetcode.com/problems/two-city-scheduling,"Array, Greedy, Sorting","Array, Sorting, Greedy"
Valid Parenthesis String,MEDIUM,2,"Linkedln, ServiceNow",39.7,0.3890940168170698,https://leetcode.com/problems/valid-parenthesis-string,"Dynamic Programming, Greedy, Stack, String","String, Dynamic Programming, Stack, Greedy"
Zero Array Transformation III,MEDIUM,2,"Meta, Microsoft",40.7,0.5538003960577724,https://leetcode.com/problems/zero-array-transformation-iii,"Array, Greedy, Heap (Priority Queue), Prefix Sum, Sorting","Array, Queue, Heap / Priority Queue, Sorting, Greedy, Prefix Sum"
All O`one Data Structure,HARD,2,"Atlassian, Linkedln",85.0,44.1%,https://leetcode.com/problems/all-oone-data-structure,"Design, Doubly-Linked List, Hash Table, Linked List","Hash Table, Linked List, Design"
Basic Calculator III,HARD,2,"Oracle, Snap",47.0,0.52469160116735,https://leetcode.com/problems/basic-calculator-iii,"Math, Recursion, Stack, String","String, Stack, Recursion, Math"
Block Placement Queries,HARD,2,"Uber, Visa",88.0,0.168902023187088,https://leetcode.com/problems/block-placement-queries,"Array, Binary Indexed Tree, Binary Search, Segment Tree","Array, Binary Search, Tree"
Closest Binary Search Tree Value II,HARD,2,"Google, Linkedln",23.8,0.6026240281377268,https://leetcode.com/problems/closest-binary-search-tree-value-ii,"Binary Search Tree, Binary Tree, Depth-First Search, Heap (Priority Queue), Stack, Tree, Two Pointers","Binary Search, Tree, Stack, Queue, Heap / Priority Queue, Two Pointers, DFS"
Contains Duplicate III,HARD,2,"Netflix, Palantir",100.0,0.236334246913539,https://leetcode.com/problems/contains-duplicate-iii,"Array, Bucket Sort, Ordered Set, Sliding Window, Sorting","Array, Sorting, Sliding Window"
Count Integers in Intervals,HARD,2,"Databricks, Linkedln",50.0,0.3416125060841183,https://leetcode.com/problems/count-integers-in-intervals,"Design, Ordered Set, Segment Tree","Tree, Design"
Count of Integers,HARD,2,"Cisco, Morgan Stanley",34.3,0.3705763284916699,https://leetcode.com/problems/count-of-integers,"Dynamic Programming, Math, String","String, Dynamic Programming, Math"
Count the Number of Incremovable Subarrays II,HARD,2,"DEShaw, IBM",83.8,0.3898850394318673,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,"Array, Binary Search, Two Pointers","Array, Binary Search, Two Pointers"
Create Maximum Number,HARD,2,"Flipkart, Oracle",69.7,0.3249475515071097,https://leetcode.com/problems/create-maximum-number,"Array, Greedy, Monotonic Stack, Stack, Two Pointers","Array, Stack, Greedy, Two Pointers, Monotonic Stack"
Department Top Three Salaries,HARD,2,"Dell, Google",87.6,0.5777105873664997,https://leetcode.com/problems/department-top-three-salaries,Database,
Distinct Subsequences,HARD,2,"Salesforce, Uber",80.4,0.500998941013352,https://leetcode.com/problems/distinct-subsequences,"Dynamic Programming, String","String, Dynamic Programming"
Dungeon Game,HARD,2,"Flipkart, Google",60.0,0.3949585700362227,https://leetcode.com/problems/dungeon-game,"Array, Dynamic Programming, Matrix","Array, Dynamic Programming, Matrix"
Employee Free Time,HARD,2,"Citadel, Intuit",71.3,0.7259759595862569,https://leetcode.com/problems/employee-free-time,"Array, Heap (Priority Queue), Line Sweep, Sorting","Array, Queue, Heap / Priority Queue, Sorting"
Frog Jump,HARD,2,"Snap, Zomato",82.5,0.4655838202746627,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming","Array, Dynamic Programming"
Guess the Word,HARD,2,"Apple, Google",38.9,0.3765162794319245,https://leetcode.com/problems/guess-the-word,"Array, Game Theory, Interactive, Math, String","Array, String, Math"
Insert Delete GetRandom O(1) - Duplicates allowed,HARD,2,"Citadel, Linkedln",38.9,0.3577149824563679,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,"Array, Design, Hash Table, Math, Randomized","Array, Hash Table, Math, Design"
K-th Smallest in Lexicographical Order,HARD,2,"DEShaw, Microsoft",76.5,0.4590489282185661,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Trie,Trie
Maximum Difference Between Even and Odd Frequency II,HARD,2,"Bloomberg, Microsoft",61.5,0.4928720842342105,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii,"Enumeration, Prefix Sum, Sliding Window, String","String, Sliding Window, Prefix Sum"
Maximum Number of Non-overlapping Palindrome Substrings,HARD,2,"Linkedln, Walmart",50.0,0.4156976135101724,https://leetcode.com/problems/maximum-number-of-non-overlapping-palindrome-substrings,"Dynamic Programming, Greedy, String, Two Pointers","String, Dynamic Programming, Greedy, Two Pointers"
Maximum Number of Tasks You Can Assign,HARD,2,"IBM, Walmart",35.0,0.506049588007545,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,"Array, Binary Search, Greedy, Monotonic Queue, Queue, Sorting, Two Pointers","Array, Binary Search, Queue, Sorting, Greedy, Two Pointers"
Maximum Performance of a Team,HARD,2,"DEShaw, Flipkart",58.7,0.4751514702683188,https://leetcode.com/problems/maximum-performance-of-a-team,"Array, Greedy, Heap (Priority Queue), Sorting","Array, Queue, Heap / Priority Queue, Sorting, Greedy"
Minimum Operations to Make Numbers Non-positive,HARD,2,"Citadel, Snowflake",78.1,0.4220088242927589,https://leetcode.com/problems/minimum-operations-to-make-numbers-non-positive,"Array, Binary Search","Array, Binary Search"
Number of Digit One,HARD,2,"Atlassian, Google",36.0,36.0%,https://leetcode.com/problems/number-of-digit-one,"Dynamic Programming, Math, Recursion","Dynamic Programming, Recursion, Math"
Number of Flowers in Full Bloom,HARD,2,"Databricks, Netflix",58.1,0.5717535511066795,https://leetcode.com/problems/number-of-flowers-in-full-bloom,"Array, Binary Search, Hash Table, Ordered Set, Prefix Sum, Sorting","Array, Binary Search, Hash Table, Sorting, Prefix Sum"
Number of Ways to Form a Target String Given a Dictionary,HARD,2,"Snap, Snowflake",59.0,0.570646521775689,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,"Array, Dynamic Programming, String","Array, String, Dynamic Programming"
Numbers With Repeated Digits,HARD,2,"IBM, JP Morgan",65.2,0.4346119124099851,https://leetcode.com/problems/numbers-with-repeated-digits,"Dynamic Programming, Math","Dynamic Programming, Math"
Painting the Walls,HARD,2,"DEShaw, Snowflake",71.8,0.4851847868464569,https://leetcode.com/problems/painting-the-walls,"Array, Dynamic Programming","Array, Dynamic Programming"
Patching Array,HARD,2,"Flipkart, Snowflake",43.5,0.5350511688984009,https://leetcode.com/problems/patching-array,"Array, Greedy","Array, Greedy"
Scramble String,HARD,2,"Amazon, Google",13.4,42.18%,https://leetcode.com/problems/scramble-string,"Dynamic Programming, String","String, Dynamic Programming"
Shortest Palindrome,HARD,2,"Google, Visa",38.0,0.4065591820684232,https://leetcode.com/problems/shortest-palindrome,"Hash Function, Rolling Hash, String, String Matching",String
Shortest Path in a Grid with Obstacles Elimination,HARD,2,"Databricks, Snap",37.2,0.4560618572179266,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,"Array, Breadth-First Search, Matrix","Array, BFS, Matrix"
Smallest Range Covering Elements from K Lists,HARD,2,"Databricks, Flipkart",64.5,0.6974692747987687,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,"Array, Greedy, Hash Table, Heap (Priority Queue), Sliding Window, Sorting","Array, Hash Table, Queue, Heap / Priority Queue, Sorting, Greedy, Sliding Window"
Split Message Based on Limit,HARD,2,"Databricks, Visa",61.5,0.4261603375527427,https://leetcode.com/problems/split-message-based-on-limit,"Binary Search, Enumeration, String","String, Binary Search"
String Transformation,HARD,2,"Atlassian, Snowflake",53.2,25.1%,https://leetcode.com/problems/string-transformation,"Dynamic Programming, Math, String, String Matching","String, Dynamic Programming, Math"
Swim in Rising Water,HARD,2,"DEShaw, Meta",49.0,0.6285262869935629,https://leetcode.com/problems/swim-in-rising-water,"Array, Binary Search, Breadth-First Search, Depth-First Search, Heap (Priority Queue), Matrix, Union Find","Array, Binary Search, Queue, Heap / Priority Queue, BFS, DFS, Union Find, Matrix"
Valid Arrangement of Pairs,HARD,2,"Goldman Sachs, Snap",50.0,0.6626068003487359,https://leetcode.com/problems/valid-arrangement-of-pairs,"Depth-First Search, Eulerian Circuit, Graph","Graph, DFS"
Vertical Order Traversal of a Binary Tree,HARD,2,"Meta, Oracle",59.4,0.5133056725792462,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Binary Tree, Breadth-First Search, Depth-First Search, Hash Table, Sorting, Tree","Tree, Hash Table, Sorting, BFS, DFS"
Word Ladder II,HARD,2,"Citadel, Linkedln",38.9,0.2715259291580063,https://leetcode.com/problems/word-ladder-ii,"Backtracking, Breadth-First Search, Hash Table, String","String, Hash Table, Backtracking, BFS"
Add to Array-Form of Integer,EASY,1,ByteDance,53.7,0.4507475217825599,https://leetcode.com/problems/add-to-array-form-of-integer,"Array, Math","Array, Math"
Average Time of Process per Machine,EASY,1,JP Morgan,38.2,0.6862945277695189,https://leetcode.com/problems/average-time-of-process-per-machine,Database,
Average Value of Even Numbers That Are Divisible by Three,EASY,1,IBM,71.7,0.6171273472553038,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,"Array, Math","Array, Math"
Binary Gap,EASY,1,Twitter,89.4,0.6465506874574097,https://leetcode.com/problems/binary-gap,Bit Manipulation,Bit Manipulation
Binary Tree Paths,EASY,1,Google,29.6,0.6656317661585257,https://leetcode.com/problems/binary-tree-paths,"Backtracking, Binary Tree, Depth-First Search, String, Tree","String, Tree, Backtracking, DFS"
Binary Tree Postorder Traversal,EASY,1,Google,25.1,0.757410545581066,https://leetcode.com/problems/binary-tree-postorder-traversal,"Binary Tree, Depth-First Search, Stack, Tree","Tree, Stack, DFS"
Button with Longest Push Time,EASY,1,JP Morgan,71.3,0.4059366074012558,https://leetcode.com/problems/button-with-longest-push-time,Array,Array
Check If It Is a Straight Line,EASY,1,Palantir,78.7,0.3970230609133101,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Geometry, Math","Array, Math"
Check If a Number Is Majority Element in a Sorted Array,EASY,1,Salesforce,70.8,0.5908462374784931,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array,"Array, Binary Search","Array, Binary Search"
Check if Array Is Sorted and Rotated,EASY,1,Bloomberg,53.2,0.5507495223867797,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array,Array
Check if Binary String Has at Most One Segment of Ones,EASY,1,Cisco,63.2,0.3902918338056159,https://leetcode.com/problems/check-if-binary-string-has-at-most-one-segment-of-ones,String,String
Check if Number Has Equal Digit Count and Digit Value,EASY,1,JP Morgan,70.4,0.7244297819277936,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value,"Counting, Hash Table, String","String, Hash Table"
Check if the Sentence Is Pangram,EASY,1,Goldman Sachs,49.3,0.83848531974997,https://leetcode.com/problems/check-if-the-sentence-is-pangram,"Hash Table, String","String, Hash Table"
Combine Two Tables,EASY,1,Microsoft,32.8,0.7807998631717663,https://leetcode.com/problems/combine-two-tables,Database,
Complement of Base 10 Integer,EASY,1,Snap,57.8,0.6070765922229309,https://leetcode.com/problems/complement-of-base-10-integer,Bit Manipulation,Bit Manipulation
Consecutive Characters,EASY,1,Goldman Sachs,53.3,0.6021721208645471,https://leetcode.com/problems/consecutive-characters,String,String
Convert Binary Number in a Linked List to Integer,EASY,1,Salesforce,45.0,0.8121536256620584,https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,"Linked List, Math","Linked List, Math"
Count Elements With Maximum Frequency,EASY,1,CRED,100.0,0.7792370150792628,https://leetcode.com/problems/count-elements-with-maximum-frequency,"Array, Counting, Hash Table","Array, Hash Table"
Count Equal and Divisible Pairs in an Array,EASY,1,Bloomberg,38.0,0.8408333300919137,https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array,Array,Array
Count Good Triplets,EASY,1,Bloomberg,38.0,0.8548305888883868,https://leetcode.com/problems/count-good-triplets,"Array, Enumeration",Array
Count Largest Group,EASY,1,Bloomberg,38.0,0.7503976647031062,https://leetcode.com/problems/count-largest-group,"Hash Table, Math","Hash Table, Math"
Count Pairs Of Similar Strings,EASY,1,IBM,57.7,0.7248677862312117,https://leetcode.com/problems/count-pairs-of-similar-strings,"Array, Bit Manipulation, Counting, Hash Table, String","Array, String, Hash Table, Bit Manipulation"
Count the Number of Vowel Strings in Range,EASY,1,PayPal,77.5,0.7351821231161714,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,"Array, Counting, String","Array, String"
Counting Bits,EASY,1,NVIDIA,49.9,0.7972033009877719,https://leetcode.com/problems/counting-bits,"Bit Manipulation, Dynamic Programming","Dynamic Programming, Bit Manipulation"
Create Target Array in the Given Order,EASY,1,Visa,85.5,0.8623489961219972,https://leetcode.com/problems/create-target-array-in-the-given-order,"Array, Simulation","Array, Simulation"
Create a DataFrame from List,EASY,1,Google,39.0,0.8147031724545858,https://leetcode.com/problems/create-a-dataframe-from-list,,
Customer Placing the Largest Number of Orders,EASY,1,Twitter,89.4,0.6436460880860977,https://leetcode.com/problems/customer-placing-the-largest-number-of-orders,Database,
Decode the Message,EASY,1,Tesla,74.5,0.8541555470834922,https://leetcode.com/problems/decode-the-message,"Hash Table, String","String, Hash Table"
Design Parking System,EASY,1,Amazon,40.6,87.08%,https://leetcode.com/problems/design-parking-system,"Counting, Design, Simulation","Simulation, Design"
Determine Color of a Chessboard Square,EASY,1,JP Morgan,74.3,0.7932834456061206,https://leetcode.com/problems/determine-color-of-a-chessboard-square,"Math, String","String, Math"
Determine if Two Events Have Conflict,EASY,1,Goldman Sachs,45.6,0.5234865263935031,https://leetcode.com/problems/determine-if-two-events-have-conflict,"Array, String","Array, String"
Determine the Winner of a Bowling Game,EASY,1,DEShaw,77.4,0.357596387879643,https://leetcode.com/problems/determine-the-winner-of-a-bowling-game,"Array, Simulation","Array, Simulation"
Distribute Money to Maximum Children,EASY,1,Apple,38.9,0.1945018764759487,https://leetcode.com/problems/distribute-money-to-maximum-children,"Greedy, Math","Greedy, Math"
Divisible and Non-divisible Sums Difference,EASY,1,Amazon,40.6,91.28%,https://leetcode.com/problems/divisible-and-non-divisible-sums-difference,Math,Math
Divisor Game,EASY,1,Visa,81.1,0.7039133843993194,https://leetcode.com/problems/divisor-game,"Brainteaser, Dynamic Programming, Game Theory, Math","Dynamic Programming, Math"
Duplicate Emails,EASY,1,Google,16.4,0.7244932493128983,https://leetcode.com/problems/duplicate-emails,Database,
Excel Sheet Column Title,EASY,1,Oracle,38.0,0.4357032576703931,https://leetcode.com/problems/excel-sheet-column-title,"Math, String","String, Math"
Fair Candy Swap,EASY,1,Swiggy,91.9,0.6328166847357979,https://leetcode.com/problems/fair-candy-swap,"Array, Binary Search, Hash Table, Sorting","Array, Binary Search, Hash Table, Sorting"
Find Followers Count,EASY,1,Tesla,95.3,0.6956128892861001,https://leetcode.com/problems/find-followers-count,Database,
Find Resultant Array After Removing Anagrams,EASY,1,JP Morgan,68.1,0.5947293118567407,https://leetcode.com/problems/find-resultant-array-after-removing-anagrams,"Array, Hash Table, Sorting, String","Array, String, Hash Table, Sorting"
Find Smallest Letter Greater Than Target,EASY,1,Linkedln,39.7,0.5407901782986692,https://leetcode.com/problems/find-smallest-letter-greater-than-target,"Array, Binary Search","Array, Binary Search"
Find Subarrays With Equal Sum,EASY,1,Morgan Stanley,87.5,0.6625844195401696,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table","Array, Hash Table"
Find Subsequence of Length K With the Largest Sum,EASY,1,Oracle,38.0,0.4550501177444639,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,"Array, Hash Table, Heap (Priority Queue), Sorting","Array, Hash Table, Queue, Heap / Priority Queue, Sorting"
Find Valid Pair of Adjacent Digits in String,EASY,1,Oracle,89.2,0.5948705875428555,https://leetcode.com/problems/find-valid-pair-of-adjacent-digits-in-string,"Counting, Hash Table, String","String, Hash Table"
Find Words Containing Character,EASY,1,Google,39.0,0.9064056797672524,https://leetcode.com/problems/find-words-containing-character,"Array, String","Array, String"
Find the Array Concatenation Value,EASY,1,IBM,71.7,0.7103725089782409,https://leetcode.com/problems/find-the-array-concatenation-value,"Array, Simulation, Two Pointers","Array, Two Pointers, Simulation"
Find the Difference,EASY,1,Google,23.8,0.5972123786185596,https://leetcode.com/problems/find-the-difference,"Bit Manipulation, Hash Table, Sorting, String","String, Hash Table, Sorting, Bit Manipulation"
Find the Maximum Divisibility Score,EASY,1,DEShaw,77.4,0.5045592705167173,https://leetcode.com/problems/find-the-maximum-divisibility-score,Array,Array
Find the Width of Columns of a Grid,EASY,1,Atlassian,73.6,69.3%,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix","Array, Matrix"
Flip Game,EASY,1,Google,25.1,0.648810474885,https://leetcode.com/problems/flip-game,String,String
Flipping an Image,EASY,1,IBM,46.3,0.8295545731388213,https://leetcode.com/problems/flipping-an-image,"Array, Bit Manipulation, Matrix, Simulation, Two Pointers","Array, Bit Manipulation, Two Pointers, Matrix, Simulation"
Generate Tag for Video Caption,EASY,1,Bloomberg,61.5,0.3135055575293102,https://leetcode.com/problems/generate-tag-for-video-caption,"Simulation, String","String, Simulation"
Get the Size of a DataFrame,EASY,1,Google,16.0,0.8518924318016196,https://leetcode.com/problems/get-the-size-of-a-dataframe,,
Goat Latin,EASY,1,Meta,45.2,0.6935336472329297,https://leetcode.com/problems/goat-latin,String,String
Greatest Common Divisor of Strings,EASY,1,NVIDIA,40.7,0.5272393278503121,https://leetcode.com/problems/greatest-common-divisor-of-strings,"Math, String","String, Math"
High Five,EASY,1,Goldman Sachs,78.8,0.7434011552337414,https://leetcode.com/problems/high-five,"Array, Hash Table, Heap (Priority Queue), Sorting","Array, Hash Table, Queue, Heap / Priority Queue, Sorting"
Image Smoother,EASY,1,Visa,54.7,0.6837229689163258,https://leetcode.com/problems/image-smoother,"Array, Matrix","Array, Matrix"
Invalid Tweets,EASY,1,Twitter,89.4,0.8551270155011662,https://leetcode.com/problems/invalid-tweets,Database,
Island Perimeter,EASY,1,Oracle,47.0,0.7353932860923039,https://leetcode.com/problems/island-perimeter,"Array, Breadth-First Search, Depth-First Search, Matrix","Array, BFS, DFS, Matrix"
Keep Multiplying Found Values by Two,EASY,1,Goldman Sachs,45.6,0.7133261449808213,https://leetcode.com/problems/keep-multiplying-found-values-by-two,"Array, Hash Table, Simulation, Sorting","Array, Hash Table, Sorting, Simulation"
Kth Largest Element in a Stream,EASY,1,Atlassian,36.0,59.9%,https://leetcode.com/problems/kth-largest-element-in-a-stream,"Binary Search Tree, Binary Tree, Data Stream, Design, Heap (Priority Queue), Tree","Binary Search, Tree, Queue, Heap / Priority Queue, Design"
Largest Number After Digit Swaps by Parity,EASY,1,IBM,71.3,0.637345576330206,https://leetcode.com/problems/largest-number-after-digit-swaps-by-parity,"Heap (Priority Queue), Sorting","Queue, Heap / Priority Queue, Sorting"
Largest Perimeter Triangle,EASY,1,Tesla,57.1,0.5736625993768019,https://leetcode.com/problems/largest-perimeter-triangle,"Array, Greedy, Math, Sorting","Array, Sorting, Greedy, Math"
Leaf-Similar Trees,EASY,1,Snowflake,48.9,0.7010504082999663,https://leetcode.com/problems/leaf-similar-trees,"Binary Tree, Depth-First Search, Tree","Tree, DFS"
Lexicographically Smallest Palindrome,EASY,1,PayPal,42.1,0.7942312085903587,https://leetcode.com/problems/lexicographically-smallest-palindrome,"Greedy, String, Two Pointers","String, Greedy, Two Pointers"
Lexicographically Smallest String After a Swap,EASY,1,JP Morgan,70.4,0.5366232121180134,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap,"Greedy, String","String, Greedy"
Lucky Numbers in a Matrix,EASY,1,Cisco,100.0,0.7990618901629731,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix","Array, Matrix"
